date,product_id,category,season,cost_price,competitor_price,stock_level,promotion,day_of_week,current_price,discount,effective_price,units_sold,revenue
2024-01-01,P0001,Household,Spring,47.65,17.13,162,0,Mon,80.56,0.0,80.56,1,80.56
2024-01-02,P0001,Electronics,Winter,24.07,92.02,437,0,Fri,29.29,0.0,29.29,50,1464.5
2024-01-03,P0001,Snacks,Spring,24.86,46.96,584,0,Sat,43.6,0.0,43.6,42,1831.2
2024-01-04,P0001,Electronics,Summer,40.33,107.27,878,0,Sat,57.4,0.0,57.4,43,2468.2
2024-01-05,P0001,Electronics,Autumn,12.04,53.4,921,0,Mon,16.11,0.0,16.11,150,2416.5
2024-01-06,P0001,Beverages,Spring,18.6,49.67,558,1,Mon,32.1,0.12,28.248,178,5028.14
2024-01-07,P0001,Snacks,Spring,50.56,52.15,423,0,Fri,73.96,0.0,73.96,26,1922.96
2024-01-08,P0001,Snacks,Autumn,95.44,100.69,616,0,Tue,115.93,0.0,115.93,11,1275.23
2024-01-09,P0001,Snacks,Spring,58.19,2.25,682,0,Wed,72.49,0.0,72.49,1,72.49
2024-01-10,P0001,Electronics,Autumn,41.44,84.88,21,1,Thu,68.47,0.1,61.623,154,9489.94
2024-01-11,P0001,Household,Winter,25.03,25.42,662,0,Mon,29.67,0.0,29.67,39,1157.13
2024-01-12,P0001,Snacks,Autumn,20.39,105.97,988,0,Fri,35.48,0.0,35.48,89,3157.72
2024-01-13,P0001,Clothing,Autumn,66.18,45.74,776,0,Thu,113.93,0.0,113.93,1,113.93
2024-01-14,P0001,Electronics,Winter,84.98,41.34,525,0,Sat,104.19,0.0,104.19,1,104.19
2024-01-15,P0001,Beverages,Spring,40.49,85.8,171,0,Wed,67.52,0.0,67.52,108,7292.16
2024-01-16,P0001,Household,Spring,55.52,86.97,989,1,Mon,68.21,0.2,54.568,154,8403.47
2024-01-17,P0001,Clothing,Winter,70.97,76.41,568,1,Sun,87.53,0.09,79.6523,113,9000.71
2024-01-18,P0001,Clothing,Summer,6.77,40.25,44,1,Fri,7.56,0.05,7.1819999999999995,96,689.47
2024-01-19,P0001,Beverages,Autumn,35.74,73.63,151,1,Sun,39.84,0.09,36.254400000000004,92,3335.4
2024-01-20,P0001,Household,Spring,73.25,7.46,151,1,Sat,122.58,0.11,109.0962,1,109.1
2024-01-21,P0001,Electronics,Spring,68.78,114.67,72,0,Tue,102.63,0.0,102.63,19,1949.97
2024-01-22,P0001,Groceries,Autumn,6.28,54.87,962,0,Fri,9.23,0.0,9.23,101,932.23
2024-01-23,P0001,Household,Autumn,24.54,37.23,346,0,Fri,38.41,0.0,38.41,25,960.25
2024-01-24,P0001,Beverages,Autumn,68.32,103.43,837,0,Sun,120.19,0.0,120.19,18,2163.42
2024-01-25,P0001,Clothing,Summer,27.87,39.58,164,1,Fri,43.03,0.05,40.8785,77,3147.64
2024-01-26,P0001,Electronics,Winter,81.63,119.66,789,0,Fri,116.06,0.0,116.06,86,9981.16
2024-01-27,P0001,Household,Summer,3.92,83.18,742,0,Mon,5.75,0.0,5.75,99,569.25
2024-01-28,P0001,Groceries,Summer,19.84,78.3,584,0,Fri,30.86,0.0,30.86,159,4906.74
2024-01-29,P0001,Groceries,Autumn,28.85,19.07,144,0,Fri,39.03,0.0,39.03,1,39.03
2024-01-30,P0001,Snacks,Winter,92.6,73.57,931,0,Tue,130.02,0.0,130.02,24,3120.48
2024-01-31,P0001,Snacks,Spring,79.84,19.46,125,1,Sun,93.55,0.13,81.3885,1,81.39
2024-02-01,P0001,Beverages,Autumn,88.53,94.25,950,0,Wed,124.88,0.0,124.88,33,4121.04
2024-02-02,P0001,Household,Winter,44.61,17.47,810,0,Thu,79.84,0.0,79.84,1,79.84
2024-02-03,P0001,Household,Spring,82.43,43.7,107,0,Mon,105.31,0.0,105.31,1,105.31
2024-02-04,P0001,Clothing,Summer,85.5,57.73,483,0,Mon,120.59,0.0,120.59,1,120.59
2024-02-05,P0001,Clothing,Winter,40.6,96.82,340,0,Thu,65.65,0.0,65.65,90,5908.5
2024-02-06,P0001,Clothing,Summer,99.45,76.3,233,1,Sat,125.73,0.11,111.89970000000001,54,6042.58
2024-02-07,P0001,Snacks,Summer,85.27,90.01,548,0,Wed,151.36,0.0,151.36,22,3329.92
2024-02-08,P0001,Household,Winter,97.44,30.03,959,0,Thu,158.08,0.0,158.08,1,158.08
2024-02-09,P0001,Household,Spring,86.78,29.23,544,0,Wed,144.72,0.0,144.72,1,144.72
2024-02-10,P0001,Groceries,Winter,77.84,46.29,230,1,Fri,113.15,0.1,101.83500000000001,1,101.84
2024-02-11,P0001,Snacks,Spring,94.44,3.22,223,0,Mon,121.94,0.0,121.94,1,121.94
2024-02-12,P0001,Electronics,Autumn,42.56,99.85,806,1,Fri,72.29,0.17,60.0007,110,6600.08
2024-02-13,P0001,Snacks,Autumn,78.55,45.03,768,0,Sun,122.34,0.0,122.34,1,122.34
2024-02-14,P0001,Electronics,Autumn,22.08,9.04,943,1,Tue,38.76,0.24,29.4576,1,29.46
2024-02-15,P0001,Groceries,Summer,73.55,104.79,853,1,Sun,88.23,0.17,73.2309,137,10032.63
2024-02-16,P0001,Beverages,Autumn,78.75,116.17,621,0,Wed,115.36,0.0,115.36,34,3922.24
2024-02-17,P0001,Household,Summer,71.94,77.94,577,0,Mon,103.36,0.0,103.36,21,2170.56
